#Timestamp [s];#kWh stand;#staat
1515751069;0,017;dryer on
1515756769;1,078;dryer off
1516193527;0,024;dryer on
1516200428;1,304;dryer off
1516215611;1,338;dryer on
1516221432;2,426;dryer off
1516301670;0,047;dryer on
1516306601;0,993;dryer off
1516376926;0,029;dryer on
1516383169;1,151;dryer off
1516790164;0,027;dryer on
1516795867;1,109;dryer off
1517062502;0,03;dryer on
1517069224;1,298;dryer off
1517071143;1,335;dryer on
1517073725;1,76;dryer off
1517074085;1,763;dryer on
1517075406;1,77;dryer off
1517401732;0,027;dryer on
1517407433;1,141;dryer off
1517407673;1,142;dryer on
1517407973;1,144;dryer off
1517423034;1,185;dryer on
1517428735;2,226;dryer off
1517561947;0,024;dryer on
1517567709;1,105;dryer off
1517572749;1,145;dryer on
1517579171;2,388;dryer off
1517582530;2,404;dryer on
1517583611;2,536;dryer off
1517585051;2,563;dryer on
1517587572;2,961;dryer off
1517593032;3,006;dryer on
1517596873;3,657;dryer off
1518022703;0,03;dryer on
1518028704;1,186;dryer off
1518039265;1,209;dryer on
1518044666;0,002;dryer off
1518183366;0,027;dryer on
1518189969;1,257;dryer off
1518200169;1,294;dryer on
1518203291;1,839;dryer off
1518458322;0,024;dryer on
1518458600;1,0;dryer off
1518789660;0;dryer on

1518792856;1,11;dryer on
1518795890;1,541;dryer off
1519217944;0,027;dryer on
1519217944;0,027;dryer on
1519223645;1,107;dryer off
1519223645;1,107;dryer off
1519413394;0,022;dryer on
1519413394;0,022;dryer on
1519420176;1,295;dryer off
1519420176;1,295;dryer off
1519494887;0,037;dryer on
1519494887;0,037;dryer on
1519500588;1,123;dryer off
1519500588;1,123;dryer off
1519855074;0,03;dryer on
1519855074;0,03;dryer on
1519860415;0,258;dryer off
1519860415;0,258;dryer off
1520008754;0,027;dryer on
1520008754;0,027;dryer on
1520014575;1,073;dryer off
1520014575;1,073;dryer off
1520087965;0,027;dryer on
1520087965;0,027;dryer on
1520094625;1,2;dryer on
1520094625;1,2;dryer on
1520096485;1,472;dryer off
1520096485;1,472;dryer off
1520166220;0,046;dryer on
1520166220;0,046;dryer on
1520171683;1,071;dryer off
1520171683;1,071;dryer off
1520601962;0,022;dryer on
1520601962;0,022;dryer on
1520608384;1,194;dryer off
1520608384;1,194;dryer off
1520686280;0,024;dryer on
1520686280;0,024;dryer on
1520689580;0,582;dryer off
1520689580;0,582;dryer off
1521027730;0,028;dryer on
1521027730;0,028;dryer on
1521034271;1,188;dryer off
1521034271;1,188;dryer off
1521051675;1,233;dryer on
1521051675;1,233;dryer on
1521294550;0,023;dryer on
1521294550;0,023;dryer on
1521301153;1,19;dryer off
1521301153;1,19;dryer off
1521301513;1,193;dryer on
1521301513;1,193;dryer on
1521302833;1,2;dryer off
1521302833;1,2;dryer off
1521311474;1,209;dryer on
1521311474;1,209;dryer on
1521316035;2,042;dryer off
1521316035;2,042;dryer off
1521406170;0,058;dryer on
1521406170;0,058;dryer on
1521411451;1,051;dryer off
1521411451;1,051;dryer off
1521621257;0,022;dryer on
1521621257;0,022;dryer on
1521626478;0,999;dryer off
1521626478;0,999;dryer off
1521805091;0,029;dryer on
1521805091;0,029;dryer on
1521810253;0,964;dryer off
1521810253;0,964;dryer off
1522239508;0,028;dryer on
1522246529;1,263;dryer off
1522246769;1,265;dryer on
1522247130;1,267;dryer off
1522675566;0,023;dryer on
1522681807;1,081;dryer off
1522852241;0,022;dryer on
1522860582;1,435;dryer off
1523017398;0,026;dryer on
1523023039;1,014;dryer off
1523099319;0,027;dryer on
1523103279;0,739;dryer off
1523459149;0,028;dryer on
1523465935;1,178;dryer off
1523618565;0,027;dryer on
1523623607;0,917;dryer off
1523623906;0,919;dryer on
1523624926;0,925;dryer off
1524214707;0,022;dryer on
1524222929;1,304;dryer off
1524317386;0,016;dryer on
1524324589;1,207;dryer off
1524332570;1,244;dryer on
1524332811;1,245;dryer off
1524406081;0,031;dryer on
1524588444;0,023;dryer on
1524593066;0,877;dryer off
1524822824;0,029;dryer on
1524828105;0,962;dryer off
1555069286;1,233;dryer on
1555075167;1,837;dryer off
1555144824;1,707;dryer on
1555149985;1,708;dryer off
1555241241;1,459;dryer on
1555247781;1,459;dryer off
1555689309;1,355;dryer on
1555695309;1,355;dryer off
1556119198;0,955;dryer on
1556125798;0,955;dryer off
1556269613;1,367;dryer on
1556276274;1,367;dryer off
1556478834;0;dryer on
1556481895;0;dryer off
1556721662;0,62;dryer on
1556724633;0,62;dryer off
1556724633;0,62;dryer on
1556734681;0,936;dryer off
1556881377;0,671;dryer on
1556886238;0,836;dryer off
1557064372;0;dryer on
1557073553;0,358;dryer off
1557158930;0,589;dryer on
1557162651;0,589;dryer off
1557481601;1,03;dryer on
1557487182;1,233;dryer off
1557496421;1,375;dryer on
1557500681;1,556;dryer off
1557917490;1,222;dryer on
1557923551;1,896;dryer off
1558106784;2,119;dryer on
1558114825;2,119;dryer off
1558369097;0,588;dryer on
1558373838;0,588;dryer off
1558687556;1,28;dryer on
1558694157;1,28;dryer off
1559475162;1,443;dryer on
1559483322;1,747;dryer off
1559908788;1,654;dryer on
1559914967;1,654;dryer off
1560174160;1,514;dryer on
1560184241;1,514;dryer off
1560497252;0,275;dryer on
1560499832;1,209;dryer off
1560512853;1,662;dryer on
1560514173;1,762;dryer off
1560534931;2,691;dryer on
1560544891;2,691;dryer off
1561104795;1,451;dryer on
1561113256;1,648;dryer off
1562324143;1,3;dryer on
1562324143;1,3;dryer on
1562331883;1,56;dryer off
1562331883;1,56;dryer off
1562405021;0,906;dryer on
1562405021;0,906;dryer on
1562410121;1,105;dryer off
1562410121;1,105;dryer off
1562419180;1,167;dryer on
1562419180;1,167;dryer on
1562421580;1,167;dryer off
1562421580;1,167;dryer off
1562943206;1,293;dryer on
1562943206;1,293;dryer on
1562951726;1,293;dryer off
1562951726;1,293;dryer off
1563032184;1,63;dryer on
1563040824;2,823;dryer off
1563041064;2,838;dryer on
1563050603;2,844;dryer off
1563179300;0;dryer on
1563179960;0;dryer off
1563198679;0,65;dryer on
1563204019;1,032;dryer off
1563459673;1,924;dryer on
1563467293;1,924;dryer off
1563548770;0,709;dryer on
1563556031;0,709;dryer off
1563724986;1,197;dryer on
1563731405;1,197;dryer off
1564230052;1,25;dryer on
1564238453;2,378;dryer off
1566638628;0,129;dryer on
1566640908;0,236;dryer off
1566642768;0,244;dryer on
1566647208;0,633;dryer off
1566652908;0,781;dryer on
1566660107;1,194;dryer off
1566988239;0;dryer on
1566997178;0;dryer off
1567182574;1,596;dryer on
1567190073;1,596;dryer off
1567616182;0,908;dryer on
1567623382;0,908;dryer off
1567776918;1,688;dryer on
1567785378;2,973;dryer off
1567786698;3,031;dryer on
1567792877;3,031;dryer off
1568203806;0,378;dryer on
1568373422;1,267;dryer on
1568379962;1,566;dryer off
1568561637;1,501;dryer on
1568566377;1,501;dryer off
1568970706;1,423;dryer on
1568976052;1,681;dryer on
1568976766;1,694;dryer off
1569073423;0,59;dryer on
1569080503;1,171;dryer off
1569166781;0,693;dryer on
1569172121;1,259;dryer off
1569588869;1,365;dryer on
1569596729;1,365;dryer off
1569754465;0,573;dryer on
1569759625;0,84;dryer off
1569773785;1,157;dryer on
